10:24:50.247,Shane Lowry,10,1,170.7082977294922,11.860434532165527,35.599586486816406,6.091425895690918,281.72271728515625,315.15509033203125
10:25:17.426,Shane Lowry,10,2,,,,,,
10:25:18.296,Shane Lowry,10,2,158.2122802734375,11.679231643676758,,,,
10:25:21.735,Shane Lowry,10,2,158.2122802734375,11.679231643676758,34.705535888671875,,,
10:25:24.686,Shane Lowry,10,2,158.2122802734375,11.679231643676758,34.705535888671875,-19.197538375854492,252.78768920898438,
10:25:31.631,Shane Lowry,10,2,158.2122802734375,11.679231643676758,34.705535888671875,-19.197538375854492,252.78768920898438,270.8708190917969
10:25:56.038,Rory McIlroy,10,2,,,,,,
10:25:56.459,Rory McIlroy,10,2,125.46917724609375,19.10245132446289,,,,
10:25:59.527,Rory McIlroy,10,2,125.46917724609375,19.10245132446289,38.820980072021484,,,
10:26:02.652,Rory McIlroy,10,2,125.46917724609375,19.10245132446289,38.820980072021484,-2.565509080886841,163.69923400878906,
10:26:04.382,Rory McIlroy,10,2,125.46917724609375,19.10245132446289,38.820980072021484,-2.565509080886841,163.69923400878906,167.98095703125
